iter	Passed	Remaining
1241	19999	4154
1242	20015	4138
1243	20030	4121
1244	20044	4105
1245	20058	4088
1246	20070	4072
1247	20085	4055
1248	20098	4039
1249	20113	4022
1250	20126	4006
1251	20137	3988
1252	20148	3971
1253	20161	3955
1254	20173	3938
1255	20185	3921
1256	20197	3904
1257	20210	3887
1258	20224	3871
1259	20237	3854
1260	20249	3837
1261	20260	3820
1262	20274	3804
1263	20287	3787
1264	20300	3771
1265	20315	3755
1266	20332	3739
1267	20347	3722
1268	20360	3706
1269	20374	3689
1270	20391	3674
1271	20413	3659
1272	20439	3644
1273	20454	3628
1274	20468	3612
1275	20490	3596
1276	20516	3582
1277	20546	3569
1278	20571	3554
1279	20598	3540
1280	20613	3524
1281	20638	3509
1282	20661	3494
1283	20679	3478
1284	20701	3463
1285	20724	3448
1286	20739	3432
1287	20750	3415
1288	20763	3398
1289	20776	3382
1290	20789	3365
1291	20801	3348
1292	20817	3332
1293	20831	3316
1294	20844	3299
1295	20858	3283
1296	20872	3266
1297	20888	3250
1298	20902	3234
1299	20920	3218
1300	20934	3202
1301	20957	3187
1302	20975	3171
1303	20991	3155
1304	21004	3138
1305	21021	3122
1306	21034	3106
1307	21046	3089
1308	21056	3072
1309	21072	3056
1310	21088	3040
1311	21100	3023
1312	21113	3007
1313	21128	2990
1314	21142	2974
1315	21153	2957
1316	21165	2940
1317	21180	2924
1318	21192	2908
1319	21208	2892
1320	21221	2875
1321	21236	2859
1322	21252	2843
1323	21264	2826
1324	21283	2811
1325	21307	2795
1326	21321	2779
1327	21333	2763
1328	21347	2746
1329	21360	2730
1330	21376	2714
1331	21390	2697
1332	21403	2681
1333	21417	2665
1334	21431	2648
1335	21445	2632
1336	21460	2616
1337	21476	2600
1338	21492	2584
1339	21506	2567
1340	21520	2551
1341	21531	2534
1342	21544	2518
1343	21558	2502
1344	21573	2486
1345	21588	2469
1346	21600	2453
1347	21613	2437
1348	21626	2420
1349	21644	2404
1350	21661	2389
1351	21676	2372
1352	21694	2357
1353	21760	2346
1354	21789	2331
1355	21808	2315
1356	21823	2299
1357	21839	2283
1358	21856	2267
1359	21874	2251
1360	21891	2235
1361	21905	2219
1362	21919	2203
1363	21933	2186
1364	21945	2170
1365	21963	2154
1366	21979	2138
1367	21995	2122
1368	22011	2106
1369	22024	2089
1370	22039	2073
1371	22055	2057
1372	22073	2041
1373	22087	2025
1374	22101	2009
1375	22116	1993
1376	22130	1976
1377	22144	1960
1378	22157	1944
1379	22171	1927
1380	22185	1911
1381	22198	1895
1382	22215	1879
1383	22228	1863
1384	22240	1846
1385	22252	1830
1386	22265	1814
1387	22282	1798
1388	22301	1782
1389	22318	1766
1390	22331	1749
1391	22344	1733
1392	22358	1717
1393	22371	1701
1394	22384	1684
1395	22398	1668
1396	22410	1652
1397	22424	1636
1398	22436	1619
1399	22451	1603
1400	22466	1587
1401	22478	1571
1402	22491	1554
1403	22504	1538
1404	22517	1522
1405	22531	1506
1406	22544	1490
1407	22557	1473
1408	22570	1457
1409	22582	1441
1410	22595	1425
1411	22608	1409
1412	22625	1393
1413	22641	1377
1414	22656	1360
1415	22668	1344
1416	22683	1328
1417	22699	1312
1418	22712	1296
1419	22725	1280
1420	22738	1264
1421	22749	1247
1422	22761	1231
1423	22774	1215
1424	22787	1199
1425	22801	1183
1426	22815	1167
1427	22827	1150
1428	22839	1134
1429	22851	1118
1430	22863	1102
1431	22875	1086
1432	22888	1070
1433	22901	1054
1434	22913	1037
1435	22924	1021
1436	22937	1005
1437	22952	989
1438	22966	973
1439	22977	957
1440	22992	941
1441	23005	925
1442	23018	909
1443	23031	893
1444	23043	877
1445	23057	861
1446	23070	845
1447	23087	829
1448	23101	813
1449	23117	797
1450	23130	781
1451	23143	765
1452	23155	749
1453	23168	732
1454	23183	717
1455	23195	700
1456	23209	684
1457	23220	668
1458	23233	652
1459	23246	636
1460	23261	620
1461	23276	605
1462	23288	588
1463	23303	573
1464	23316	557
1465	23330	541
1466	23343	525
1467	23355	509
1468	23368	493
1469	23382	477
1470	23396	461
1471	23412	445
1472	23437	429
1473	23457	413
1474	23476	397
1475	23493	382
1476	23513	366
1477	23528	350
1478	23546	334
1479	23563	318
1480	23580	302
1481	23596	286
1482	23611	270
1483	23628	254
1484	23644	238
1485	23659	222
1486	23674	206
1487	23697	191
1488	23719	175
1489	23736	159
1490	23752	143
1491	23768	127
1492	23781	111
1493	23796	95
1494	23810	79
1495	23825	63
1496	23838	47
1497	23851	31
1498	23862	15
1499	23879	0
